Bus_orgId,Bus_orgName,Bus_orgFullName,Bus_orgDescription,Bus_orgEffectiveDate,Bus_orgExpirationDate,Bus_orgTypeId,Bus_orgTypeName,Bus_orgPathTxt,Bus_orgContextName,Bus_orgLocationCategory,Bus_orgBreak0,Bus_orgBreak1,Bus_orgBreak2,Bus_orgBreak3,Bus_orgBreak4,Bus_orgBreak5,Bus_orgBreak6,Bus_orgBreak7,Bus_orgBreak8,Bus_orgBreak9,Bus_orgBreak10,Bus_orgBreak11,Bus_orgBreak12,Bus_orgBreak13,Bus_orgBreak14,Bus_orgBreak15,Bus_orgBreak16,Bus_orgBreak17,Bus_orgBreak18,Bus_orgBreak19,Bus_orgBreak20,Bus_orgBreak21,Bus_orgBreak22,Bus_orgBreak23,Bus_orgBreak24,Bus_orgBreak25,Bus_orgBreak0Desc,Bus_orgBreak1Desc,Bus_orgBreak2Desc,Bus_orgBreak3Desc,Bus_orgBreak4Desc,Bus_orgBreak5Desc,Bus_orgBreak6Desc,Bus_orgBreak7Desc,Bus_orgBreak8Desc,Bus_orgBreak9Desc,Bus_orgBreak10Desc,Bus_orgBreak11Desc,Bus_orgBreak12Desc,Bus_orgBreak13Desc,Bus_orgBreak14Desc,Bus_orgBreak15Desc,Bus_orgBreak16Desc,Bus_orgBreak17Desc,Bus_orgBreak18Desc,Bus_orgBreak19Desc,Bus_orgBreak20Desc,Bus_orgBreak21Desc,Bus_orgBreak22Desc,Bus_orgBreak23Desc,Bus_orgBreak24Desc,Bus_orgBreak25Desc,Bus_directWorkPercent,Bus_indirectWorkPercent
1718,WOOD LAUREN ARNP - 4239,WOOD LAUREN ARNP - 4239,WOOD LAUREN ARNP - 4239,1900-01-01,3000-01-01,4,Unit,AHS/OK/OK/OPG 5254/Medical/WOOD LAUREN ARNP - 4239,ORG,Department,AHS,OK,OK,OPG 5254,Medical,WOOD LAUREN ARNP - 4239,,,,,,,,,,,,,,,,,,,,,Ardent,Oklahoma Division,Oklahoma,OK Physician Group - ML,Medical,WOOD LAUREN ARNP - 4239,,,,,,,,,,,,,,,,,,,,,,
1958,Accounting - 9202,Accounting - 9202,Accounting - 9202,1900-01-01,3000-01-01,4,Unit,AHS/TX/ETX/UTT 5506/OPS/Accounting - 9202,ORG,Department,AHS,TX,ETX,UTT 5506,OPS,Accounting - 9202,,,,,,,,,,,,,,,,,,,,,Ardent,Texas Division,East Texas,UT Health HealthFirst,Operations,Accounting - 9202,,,,,,,,,,,,,,,,,,,,,,
2069,NEWNAM MICHAEL B. MD - 4596,NEWNAM MICHAEL B. MD - 4596,NEWNAM MICHAEL B. MD - 4596,1900-01-01,3000-01-01,4,Unit,AHS/OK/OK/OHI 5202/Medical/NEWNAM MICHAEL B. MD - 4596,ORG,Department,AHS,OK,OK,OHI 5202,Medical,NEWNAM MICHAEL B. MD - 4596,,,,,,,,,,,,,,,,,,,,,Ardent,Oklahoma Division,Oklahoma,Oklahoma Heart Institute - PHY,Medical,NEWNAM MICHAEL B. MD - 4596,,,,,,,,,,,,,,,,,,,,,,
2115,Nursing Administration - 9276,Nursing Administration - 9276,Nursing Administration - 9276,1900-01-01,3000-01-01,4,Unit,AHS/TX/ETX/UTP 5535/NA/Nursing Administration - 9276,ORG,Department,AHS,TX,ETX,UTP 5535,NA,Nursing Administration - 9276,,,,,,,,,,,,,,,,,,,,,Ardent,Texas Division,East Texas,UT Health Pittsburg,Nursing Admin,Nursing Administration - 9276,,,,,,,,,,,,,,,,,,,,,,
2364,Electroencephalography-EEG - 5054,Electroencephalography-EEG - 5054,Electroencephalography-EEG - 5054,1900-01-01,3000-01-01,4,Unit,AHS/AMER/NJ/PV 5440/Rad/Electroencephalography-EEG - 5054,ORG,Department,AHS,AMER,NJ,PV 5440,Rad,Electroencephalography-EEG - 5054,,,,,,,,,,,,,,,,,,,,,Ardent,Americas Division,New Jersery,Hackensack Meridian Health at Pascack Valley,Radiology,Electroencephalography-EEG - 5054,,,,,,,,,,,,,,,,,,,,,,
2421,Administration - 9208,Administration - 9208,Administration - 9208,1900-01-01,3000-01-01,4,Unit,AHS/AMER/TX/BSAHS 1301/Admin/Administration - 9208,ORG,Department,AHS,AMER,TX,BSAHS 1301,Admin,Administration - 9208,,,,,,,,,,,,,,,,,,,,,Ardent,Americas Division,Texas,BSA Health System,Administration,Administration - 9208,,,,,,,,,,,,,,,,,,,,,,
2441,WILLEMS LAUREN APRN-CNP - 6916,WILLEMS LAUREN APRN-CNP - 6916,WILLEMS LAUREN APRN-CNP - 6916,1900-01-01,3000-01-01,4,Unit,AHS/OK/OK/OHI 5201/Medical/WILLEMS LAUREN APRN-CNP - 6916,ORG,Department,AHS,OK,OK,OHI 5201,Medical,WILLEMS LAUREN APRN-CNP - 6916,,,,,,,,,,,,,,,,,,,,,Ardent,Oklahoma Division,Oklahoma,Oklahoma Heart Institute,Medical,WILLEMS LAUREN APRN-CNP - 6916,,,,,,,,,,,,,,,,,,,,,,
2476,Nuclear Cardiology B - 5115,Nuclear Cardiology B - 5115,Nuclear Cardiology B - 5115,1900-01-01,3000-01-01,4,Unit,AHS/OK/OK/HMC 5200/Rad/Nuclear Cardiology B - 5115,ORG,Department,AHS,OK,OK,HMC 5200,Rad,Nuclear Cardiology B - 5115,,,,,,,,,,,,,,,,,,,,,Ardent,Oklahoma Division,Oklahoma,Hillcrest Medical Center,Radiology,Nuclear Cardiology B - 5115,,,,,,,,,,,,,,,,,,,,,,
2501,SUROWIAK SHAY APRN-CNP - 4334,SUROWIAK SHAY APRN-CNP - 4334,SUROWIAK SHAY APRN-CNP - 4334,1900-01-01,3000-01-01,4,Unit,AHS/OK/OK/OPG 5254/Medical/SUROWIAK SHAY APRN-CNP - 4334,ORG,Department,AHS,OK,OK,OPG 5254,Medical,SUROWIAK SHAY APRN-CNP - 4334,,,,,,,,,,,,,,,,,,,,,Ardent,Oklahoma Division,Oklahoma,OK Physician Group - ML,Medical,SUROWIAK SHAY APRN-CNP - 4334,,,,,,,,,,,,,,,,,,,,,,
2533,Administration - 9208,Administration - 9208,Administration - 9208,1900-01-01,3000-01-01,4,Unit,AHS/TX/ETX/UTT 5500/Admin/Administration - 9208,ORG,Department,AHS,TX,ETX,UTT 5500,Admin,Administration - 9208,,,,,,,,,,,,,,,,,,,,,Ardent,Texas Division,East Texas,UT Health Tyler,Administration,Administration - 9208,,,,,,,,,,,,,,,,,,,,,,
2544,TREAT CHRISTOPHER DO - 4955,TREAT CHRISTOPHER DO - 4955,TREAT CHRISTOPHER DO - 4955,1900-01-01,3000-01-01,4,Unit,AHS/OK/OK/UPC 5251/Medical/TREAT CHRISTOPHER DO - 4955,ORG,Department,AHS,OK,OK,UPC 5251,Medical,TREAT CHRISTOPHER DO - 4955,,,,,,,,,,,,,,,,,,,,,Ardent,Oklahoma Division,Oklahoma,Utica Park Clinic,Medical,TREAT CHRISTOPHER DO - 4955,,,,,,,,,,,,,,,,,,,,,,
2571,HUDSPETH MONICA NP - 7509,HUDSPETH MONICA NP - 7509,HUDSPETH MONICA NP - 7509,1900-01-01,3000-01-01,4,Unit,AHS/TX/ETX/UTPHY 5552/Medical/HUDSPETH MONICA NP - 7509,ORG,Department,AHS,TX,ETX,UTPHY 5552,Medical,HUDSPETH MONICA NP - 7509,,,,,,,,,,,,,,,,,,,,,Ardent,Texas Division,East Texas,UTHET Physician Group - ML,Medical,HUDSPETH MONICA NP - 7509,,,,,,,,,,,,,,,,,,,,,,
2625,LEIGHTON-SEIFFER HARMONY MD - 3843,LEIGHTON-SEIFFER HARMONY MD - 3843,LEIGHTON-SEIFFER HARMONY MD - 3843,1900-01-01,3000-01-01,4,Unit,AHS/AMER/NJ/MPV 5445/Medical/LEIGHTON-SEIFFER HARMONY MD - 3843,ORG,Department,AHS,AMER,NJ,MPV 5445,Medical,LEIGHTON-SEIFFER HARMONY MD - 3843,,,,,,,,,,,,,,,,,,,,,Ardent,Americas Division,New Jersery,MPV New Jersey MD Services,Medical,LEIGHTON-SEIFFER HARMONY MD - 3843,,,,,,,,,,,,,,,,,,,,,,
2949,Cardiac Rehab Unit A - 5018,Cardiac Rehab Unit A - 5018,Cardiac Rehab Unit A - 5018,1900-01-01,3000-01-01,4,Unit,AHS/AMER/TX/BSA 5300/Cardiac/Cardiac Rehab Unit A - 5018,ORG,Department,AHS,AMER,TX,BSA 5300,Cardiac,Cardiac Rehab Unit A - 5018,,,,,,,,,,,,,,,,,,,,,Ardent,Americas Division,Texas,BSA Hospital,Cardiac Services,Cardiac Rehab Unit A - 5018,,,,,,,,,,,,,,,,,,,,,,
2951,MedSurg - 3 North B - 1106,MedSurg - 3 North B - 1106,MedSurg - 3 North B - 1106,1900-01-01,3000-01-01,4,Unit,AHS/TX/ETX/UTT 5500/Med-Surg/MedSurg - 3 North B - 1106,ORG,Department,AHS,TX,ETX,UTT 5500,Med-Surg,MedSurg - 3 North B - 1106,,,,,,,,,,,,,,,,,,,,,Ardent,Texas Division,East Texas,UT Health Tyler,Medical-Surgical,MedSurg - 3 North B - 1106,,,,,,,,,,,,,,,,,,,,,,
3072,Medical Physiology - 5053,Medical Physiology - 5053,Medical Physiology - 5053,1900-01-01,3000-01-01,4,Unit,AHS/AMER/TX/ADC 5325/Ancillary/Medical Physiology - 5053,ORG,Department,AHS,AMER,TX,ADC 5325,Ancillary,Medical Physiology - 5053,,,,,,,,,,,,,,,,,,,,,Ardent,Americas Division,Texas,Amarillo Diagnostic Clinic,Ancillary,Medical Physiology - 5053,,,,,,,,,,,,,,,,,,,,,,
3266,Case Management Acute Care - 9302,Case Management Acute Care - 9302,Case Management Acute Care - 9302,1900-01-01,3000-01-01,4,Unit,AHS/TX/ETX/UTJ 5530/Quality/Case Management Acute Care - 9302,ORG,Department,AHS,TX,ETX,UTJ 5530,Quality,Case Management Acute Care - 9302,,,,,,,,,,,,,,,,,,,,,Ardent,Texas Division,East Texas,UT Health Jacksonville,Quality,Case Management Acute Care - 9302,,,,,,,,,,,,,,,,,,,,,,
3517,Infection Control - 9301,Infection Control - 9301,Infection Control - 9301,1900-01-01,3000-01-01,4,Unit,AHS/AMER/NM/LWH 5070/Quality/Infection Control - 9301,ORG,Department,AHS,AMER,NM,LWH 5070,Quality,Infection Control - 9301,,,,,,,,,,,,,,,,,,,,,Ardent,Americas Division,New Mexico,Lovelace Women’s Hospital,Quality,Infection Control - 9301,,,,,,,,,,,,,,,,,,,,,,
3819,Adult Psychiatric Unit A - 2052,Adult Psychiatric Unit A - 2052,Adult Psychiatric Unit A - 2052,1900-01-01,3000-01-01,4,Unit,AHS/AMER/ID/PORT 5400/Behavior Health/Adult Psychiatric Unit A - 2052,ORG,Department,AHS,AMER,ID,PORT 5400,Behavior Health,Adult Psychiatric Unit A - 2052,,,,,,,,,,,,,,,,,,,,,Ardent,Americas Division,Idaho,Portneuf Medical Center,Behavior Health,Adult Psychiatric Unit A - 2052,,,,,,,,,,,,,,,,,,,,,,
3965,MONTEMURRO DANIELLA MD - 3839,MONTEMURRO DANIELLA MD - 3839,MONTEMURRO DANIELLA MD - 3839,1900-01-01,3000-01-01,4,Unit,AHS/AMER/NJ/NJMD 5437/Medical/MONTEMURRO DANIELLA MD - 3839,ORG,Department,AHS,AMER,NJ,NJMD 5437,Medical,MONTEMURRO DANIELLA MD - 3839,,,,,,,,,,,,,,,,,,,,,Ardent,Americas Division,New Jersery,NJ MD Services - Phy,Medical,MONTEMURRO DANIELLA MD - 3839,,,,,,,,,,,,,,,,,,,,,,
4037,HOGGARD HELEN APRN-CNP - 4341,HOGGARD HELEN APRN-CNP - 4341,HOGGARD HELEN APRN-CNP - 4341,1900-01-01,3000-01-01,4,Unit,AHS/OK/OK/UPC 5251/Medical/HOGGARD HELEN APRN-CNP - 4341,ORG,Department,AHS,OK,OK,UPC 5251,Medical,HOGGARD HELEN APRN-CNP - 4341,,,,,,,,,,,,,,,,,,,,,Ardent,Oklahoma Division,Oklahoma,Utica Park Clinic,Medical,HOGGARD HELEN APRN-CNP - 4341,,,,,,,,,,,,,,,,,,,,,,
4153,RN,RN,RN,1900-01-01,3000-01-01,-1,Job,AHS/AMER/NM/LMC 5050/Behavior Health/Adult Psychiatric Unit A - 2052/RN,ORG,,AHS,AMER,NM,LMC 5050,Behavior Health,Adult Psychiatric Unit A - 2052,,RN,,,,,,,,,,,,,,,,,,,Ardent,Americas Division,New Mexico,Lovelace Medical Center,Behavior Health,Adult Psychiatric Unit A - 2052,,RN,,,,,,,,,,,,,,,,,,,,
4167,COORD,COORD,COORD,1900-01-01,3000-01-01,-1,Job,AHS/TX/ETX/UTR 5505/Rehab/Rehab Clinic Administration - 7280/COORD,ORG,,AHS,TX,ETX,UTR 5505,Rehab,Rehab Clinic Administration - 7280,,COORD,,,,,,,,,,,,,,,,,,,Ardent,Texas Division,East Texas,UT Health Rehabilitation Hospital,Rehab,Rehab Clinic Administration - 7280,,COORD,,,,,,,,,,,,,,,,,,,,
4220,MGR,MGR,MGR,1900-01-01,3000-01-01,-1,Job,AHS/AMER/TX/SHH 5410/CC/Intensive Care Unit - 1004/MGR,ORG,,AHS,AMER,TX,SHH 5410,CC,Intensive Care Unit - 1004,,MGR,,,,,,,,,,,,,,,,,,,Ardent,Americas Division,Texas,Seton Medical Center Harker Heights,Critical Care,Intensive Care Unit - 1004,,MGR,,,,,,,,,,,,,,,,,,,,
4242,DIR,DIR,DIR,1900-01-01,3000-01-01,-1,Job,AHS/TX/ETX/UTPHY 5550/Cardiac/Cardiac Catheterization Lab B - 5017/DIR,ORG,,AHS,TX,ETX,UTPHY 5550,Cardiac,Cardiac Catheterization Lab B - 5017,,DIR,,,,,,,,,,,,,,,,,,,Ardent,Texas Division,East Texas,UTHET Physician Group,Cardiac Services,Cardiac Catheterization Lab B - 5017,,DIR,,,,,,,,,,,,,,,,,,,,
4273,REP PAT SVC,REP PAT SVC,REP PAT SVC,1900-01-01,3000-01-01,-1,Job,AHS/AMER/NM/LWH 5070/OPS/Admitting - ER-OP Registration - 9210/REP PAT SVC,ORG,,AHS,AMER,NM,LWH 5070,OPS,Admitting - ER-OP Registration - 9210,,REP PAT SVC,,,,,,,,,,,,,,,,,,,Ardent,Americas Division,New Mexico,Lovelace Women’s Hospital,Operations,Admitting - ER-OP Registration - 9210,,REP PAT SVC,,,,,,,,,,,,,,,,,,,,
4523,OT,OT,OT,1900-01-01,3000-01-01,-1,Job,AHS/AMER/NM/LRH 5060/Clinic/OP Therapy Clinic-Rio Rancho - 5141/OT,ORG,,AHS,AMER,NM,LRH 5060,Clinic,OP Therapy Clinic-Rio Rancho - 5141,,OT,,,,,,,,,,,,,,,,,,,Ardent,Americas Division,New Mexico,Lovelace UNM Rehabilitation Hospital,Clinic,OP Therapy Clinic-Rio Rancho - 5141,,OT,,,,,,,,,,,,,,,,,,,,
4548,LPN,LPN,LPN,1900-01-01,3000-01-01,-1,Job,AHS/AMER/NM/LMC 5050/ES/Emergency Room A - 5058/LPN,ORG,,AHS,AMER,NM,LMC 5050,ES,Emergency Room A - 5058,,LPN,,,,,,,,,,,,,,,,,,,Ardent,Americas Division,New Mexico,Lovelace Medical Center,Emergency Services,Emergency Room A - 5058,,LPN,,,,,,,,,,,,,,,,,,,,
4825,SUP,SUP,SUP,1900-01-01,3000-01-01,-1,Job,AHS/AMER/TX/BSA 5300/Rad/Radiology - Spec Procedure - 5164/SUP,ORG,,AHS,AMER,TX,BSA 5300,Rad,Radiology - Spec Procedure - 5164,,SUP,,,,,,,,,,,,,,,,,,,Ardent,Americas Division,Texas,BSA Hospital,Radiology,Radiology - Spec Procedure - 5164,,SUP,,,,,,,,,,,,,,,,,,,,
4866,RN,RN,RN,1900-01-01,3000-01-01,-1,Job,AHS/OK/OK/CLAR 5270/Surg Svc/Surgery - 5198/RN,ORG,,AHS,OK,OK,CLAR 5270,Surg Svc,Surgery - 5198,,RN,,,,,,,,,,,,,,,,,,,Ardent,Oklahoma Division,Oklahoma,Hillcrest Hospital Claremore,Surgical Services,Surgery - 5198,,RN,,,,,,,,,,,,,,,,,,,,
4936,NE,NE,NE,1900-01-01,3000-01-01,-1,Job,AHS/AMER/NM/LWH 5070/WC/Newborn Nursery Unit B - 1310/NE,ORG,,AHS,AMER,NM,LWH 5070,WC,Newborn Nursery Unit B - 1310,,NE,,,,,,,,,,,,,,,,,,,Ardent,Americas Division,New Mexico,Lovelace Women’s Hospital,Womens And Childrens,Newborn Nursery Unit B - 1310,,NE,,,,,,,,,,,,,,,,,,,,
4958,DIR,DIR,DIR,1900-01-01,3000-01-01,-1,Job,AHS/OK/OK/CLAR 5270/Pharm/Pharmacy - 5134/DIR,ORG,,AHS,OK,OK,CLAR 5270,Pharm,Pharmacy - 5134,,DIR,,,,,,,,,,,,,,,,,,,Ardent,Oklahoma Division,Oklahoma,Hillcrest Hospital Claremore,Pharmacy,Pharmacy - 5134,,DIR,,,,,,,,,,,,,,,,,,,,
4974,RN PD,RN PD,RN PD,1900-01-01,3000-01-01,-1,Job,AHS/AMER/NM/LWSH 5055/CC/Intensive Care Unit - 1004/RN PD,ORG,,AHS,AMER,NM,LWSH 5055,CC,Intensive Care Unit - 1004,,RN PD,,,,,,,,,,,,,,,,,,,Ardent,Americas Division,New Mexico,Lovelace Westside Hospital,Critical Care,Intensive Care Unit - 1004,,RN PD,,,,,,,,,,,,,,,,,,,,
5114,LEAD,Lead,Lead,1900-01-01,3000-01-01,-1,Job,AHS/TX/ETX/ETHS 5501/IT/IT Network - Infrastructure - 9507/LEAD,ORG,,AHS,TX,ETX,ETHS 5501,IT,IT Network - Infrastructure - 9507,,LEAD,,,,,,,,,,,,,,,,,,,Ardent,Texas Division,East Texas,East Texas Health System,IT,IT Network - Infrastructure - 9507,,Lead,,,,,,,,,,,,,,,,,,,,
5414,NP,NP,NP,1900-01-01,3000-01-01,-1,Job,AHS/AMER/KS/STF 5480/Clinic/Occupational Medicine - 5508/NP,ORG,,AHS,AMER,KS,STF 5480,Clinic,Occupational Medicine - 5508,,NP,,,,,,,,,,,,,,,,,,,Ardent,Americas Division,Kansas,The University of Kansas Health System St. Francis Campus,Clinic,Occupational Medicine - 5508,,NP,,,,,,,,,,,,,,,,,,,,
5428,RN,RN,RN,1900-01-01,3000-01-01,-1,Job,AHS/AMER/ID/PORT 5400/WC/Labor and Delivery - 5092/RN,ORG,,AHS,AMER,ID,PORT 5400,WC,Labor and Delivery - 5092,,RN,,,,,,,,,,,,,,,,,,,Ardent,Americas Division,Idaho,Portneuf Medical Center,Womens And Childrens,Labor and Delivery - 5092,,RN,,,,,,,,,,,,,,,,,,,,
5630,CLCRD,CLCRD,CLCRD,1900-01-01,3000-01-01,-1,Job,AHS/OK/OK/UPC 5251/Clinic/CPC+ GEARHART - 4622/CLCRD,ORG,,AHS,OK,OK,UPC 5251,Clinic,CPC+ GEARHART - 4622,,CLCRD,,,,,,,,,,,,,,,,,,,Ardent,Oklahoma Division,Oklahoma,Utica Park Clinic,Clinic,CPC+ GEARHART - 4622,,CLCRD,,,,,,,,,,,,,,,,,,,,
5659,OT,OT,OT,1900-01-01,3000-01-01,-1,Job,AHS/AMER/TX/SHH 5410/Clinic/Occupational Therapy A - 5117/OT,ORG,,AHS,AMER,TX,SHH 5410,Clinic,Occupational Therapy A - 5117,,OT,,,,,,,,,,,,,,,,,,,Ardent,Americas Division,Texas,Seton Medical Center Harker Heights,Clinic,Occupational Therapy A - 5117,,OT,,,,,,,,,,,,,,,,,,,,
5668,COTA,COTA,COTA,1900-01-01,3000-01-01,-1,Job,AHS/AMER/TX/BSA 5300/Clinic/Occupational Therapy A - 5117/COTA,ORG,,AHS,AMER,TX,BSA 5300,Clinic,Occupational Therapy A - 5117,,COTA,,,,,,,,,,,,,,,,,,,Ardent,Americas Division,Texas,BSA Hospital,Clinic,Occupational Therapy A - 5117,,COTA,,,,,,,,,,,,,,,,,,,,
5765,NP,NP,NP,1900-01-01,3000-01-01,-1,Job,AHS/OK/OK/OPG 5254/Medical/STEVENS KYNDAL APRN - 4607/NP,ORG,,AHS,OK,OK,OPG 5254,Medical,STEVENS KYNDAL APRN - 4607,,NP,,,,,,,,,,,,,,,,,,,Ardent,Oklahoma Division,Oklahoma,OK Physician Group - ML,Medical,STEVENS KYNDAL APRN - 4607,,NP,,,,,,,,,,,,,,,,,,,,
5794,HR,HR,HR,1900-01-01,3000-01-01,-1,Job,AHS/TX/ETX/UTP 5535/OPS/Human Resources - 9258/HR,ORG,,AHS,TX,ETX,UTP 5535,OPS,Human Resources - 9258,,HR,,,,,,,,,,,,,,,,,,,Ardent,Texas Division,East Texas,UT Health Pittsburg,Operations,Human Resources - 9258,,HR,,,,,,,,,,,,,,,,,,,,
5828,THRP-RAD,THRP-RAD,THRP-RAD,1900-01-01,3000-01-01,-1,Job,AHS/AMER/NM/LMC 5050/Oncology/Satellite Oncology - 5183/THRP-RAD,ORG,,AHS,AMER,NM,LMC 5050,Oncology,Satellite Oncology - 5183,,THRP-RAD,,,,,,,,,,,,,,,,,,,Ardent,Americas Division,New Mexico,Lovelace Medical Center,Oncology,Satellite Oncology - 5183,,THRP-RAD,,,,,,,,,,,,,,,,,,,,
5906,PCT,PCT,PCT,1900-01-01,3000-01-01,-1,Job,AHS/OK/OK/HMC 5200/Surg Svc/Recovery Room A - 5166/PCT,ORG,,AHS,OK,OK,HMC 5200,Surg Svc,Recovery Room A - 5166,,PCT,,,,,,,,,,,,,,,,,,,Ardent,Oklahoma Division,Oklahoma,Hillcrest Medical Center,Surgical Services,Recovery Room A - 5166,,PCT,,,,,,,,,,,,,,,,,,,,
6122,MGR,MGR,MGR,1900-01-01,3000-01-01,-1,Job,AHS/AMER/NM/LHS 1500/OPS/Accounts Payable - 9204/MGR,ORG,,AHS,AMER,NM,LHS 1500,OPS,Accounts Payable - 9204,,MGR,,,,,,,,,,,,,,,,,,,Ardent,Americas Division,New Mexico,Lovelace Health System,Operations,Accounts Payable - 9204,,MGR,,,,,,,,,,,,,,,,,,,,
