partitionDate,personId,accrualCodeId,currencyCode,currentBalVestedDays,currentBalVestedHrs,currentBalVestedAmt,currentBalProbationDays,currentBalProbationHrs,currentBalProbationAmt,availableBalDays,availableBalHrs,availableBalAmt,earnedToDateDays,earnedToDateHrs,earnedToDateAmt,pendingGrantDays,pendingGrantHrs,pendingGrantAmt,plannedTakingDays,plannedTakingHrs,plannedTakingAmt,takingToDateDays,takingToDateHrs,takingToDateAmt,uniqueId,updateDtm
2025-03-24,10009,4,,,274.1,,,0.0,,,274.1,,,0.0,,,0.0,,,204.0,,,32.0,,10009:4,2025-12-31 08:04:05.447494
2026-01-12,10009,4,,,307.1,,,0.0,,,307.1,,,0.0,,,0.0,,,0.0,,,8.0,,10009:4,2026-01-06 08:01:11.687616
2026-12-07,10009,4,,,307.1,,,0.0,,,307.1,,,0.0,,,0.0,,,0.0,,,8.0,,10009:4,2026-01-06 08:01:20.568593
2026-11-23,10010,101,,,165.1,,,0.0,,,165.1,,,0.0,,,0.0,,,0.0,,,0.0,,10010:101,2026-01-06 08:01:20.568593
2025-04-21,10013,101,,,68.1,,,0.0,,,82.85,,,0.0,,,0.0,,,0.0,,,13.75,,10013:101,2025-12-31 08:04:05.447494
2026-03-23,10015,1,,,317.0667,,,0.0,,,317.0667,,,0.0,,,0.0,,,0.0,,,0.0,,10015:1,2026-01-06 08:01:11.701957
2026-11-09,10015,1,,,317.0667,,,0.0,,,317.0667,,,0.0,,,0.0,,,0.0,,,0.0,,10015:1,2026-01-06 08:01:20.568593
2025-11-24,10015,4,,,256.25,,,0.0,,,247.25,,,0.0,,,0.0,,,36.0,,,185.3667,,10015:4,2025-12-31 08:04:11.089236
2025-02-17,10016,1,,,93.0667,,,0.0,,,93.2833,,,0.0,,,0.0,,,112.0,,,0.0,,10016:1,2025-12-31 08:04:05.447494
2025-12-22,10016,1,,,-0.0167,,,0.0,,,-0.0167,,,0.0,,,0.0,,,0.0,,,112.0,,10016:1,2025-12-31 08:04:11.122402
2025-11-03,10016,101,,,11.65,,,0.0,,,4.65,,,0.0,,,0.0,,,7.0,,,57.0,,10016:101,2025-12-31 08:04:11.089236
2025-01-27,10016,4,,,157.2833,,,0.0,,,171.8667,,,0.0,,,0.0,,,381.8667,,,0.0,,10016:4,2025-12-31 08:04:05.447494
2025-08-25,10017,1,,,146.9167,,,0.0,,,146.9167,,,0.0,,,0.0,,,0.0,,,0.0,,10017:1,2025-12-31 08:04:11.089236
2026-11-23,10017,1,,,165.4,,,0.0,,,165.4,,,0.0,,,0.0,,,0.0,,,0.0,,10017:1,2026-01-06 08:01:20.568593
2026-03-30,10017,101,,,13.35,,,0.0,,,13.35,,,0.0,,,0.0,,,0.0,,,0.0,,10017:101,2026-01-06 08:01:11.681244
2025-06-09,10017,4,,,67.6667,,,0.0,,,67.6667,,,0.0,,,0.0,,,100.0,,,72.0,,10017:4,2025-12-31 08:04:05.447494
2025-04-28,10024,1,,,474.65,,,0.0,,,480.0,,,0.0,,,0.0,,,0.0,,,0.0,,10024:1,2025-12-31 08:04:05.447494
2025-05-26,10024,1,,,477.3333,,,0.0,,,480.0,,,0.0,,,0.0,,,0.0,,,0.0,,10024:1,2025-12-31 08:04:05.447494
2025-02-17,10024,101,,,57.85,,,0.0,,,59.9833,,,0.0,,,0.0,,,45.9333,,,6.3,,10024:101,2025-12-31 08:04:05.447494
2026-04-06,10024,101,,,70.2167,,,0.0,,,70.2167,,,0.0,,,0.0,,,0.0,,,0.0,,10024:101,2026-01-06 08:01:11.681244
2026-06-15,10030,1,,,480.0,,,0.0,,,480.0,,,0.0,,,0.0,,,0.0,,,0.0,,10030:1,2026-01-06 08:01:11.755598
2026-08-31,10030,101,,,125.1,,,0.0,,,125.1,,,0.0,,,0.0,,,0.0,,,0.0,,10030:101,2026-01-06 08:01:11.753363
2026-06-29,10031,4,,,63.4333,,,0.0,,,63.4333,,,0.0,,,0.0,,,0.0,,,8.0,,10031:4,2026-01-06 08:01:11.755598
2025-05-19,10032,101,,,20.1167,,,0.0,,,18.7167,,,0.0,,,0.0,,,9.0,,,9.3,,10032:101,2025-12-31 08:04:05.447494
2026-08-24,10032,101,,,34.1,,,0.0,,,34.1,,,0.0,,,0.0,,,0.0,,,0.0,,10032:101,2026-01-06 08:01:11.753363
2025-08-11,10032,4,,,108.5333,,,0.0,,,108.5333,,,0.0,,,0.0,,,64.0,,,88.0,,10032:4,2025-12-31 08:04:11.089236
2025-06-23,10034,1,,,463.2333,,,0.0,,,463.2333,,,0.0,,,0.0,,,0.0,,,0.0,,10034:1,2025-12-31 08:04:05.447494
2025-01-20,10034,101,,,27.0333,,,0.0,,,15.0333,,,0.0,,,0.0,,,48.0,,,0.0,,10034:101,2025-12-31 08:04:05.447494
2025-04-14,10034,101,,,25.9,,,0.0,,,13.9,,,0.0,,,0.0,,,36.0,,,12.0,,10034:101,2025-12-31 08:04:05.447494
2025-11-24,10034,101,,,17.0333,,,0.0,,,17.0333,,,0.0,,,0.0,,,0.0,,,48.0,,10034:101,2025-12-31 08:04:11.089236
2026-05-18,10034,101,,,21.8833,,,0.0,,,21.8833,,,0.0,,,0.0,,,0.0,,,0.0,,10034:101,2026-01-06 08:01:11.809268
2025-06-30,10034,4,,,154.1667,,,0.0,,,135.7833,,,0.0,,,0.0,,,74.3833,,,144.0,,10034:4,2025-12-31 08:04:05.447494
2025-04-21,10035,4,,,185.65,,,0.0,,,185.65,,,0.0,,,0.0,,,179.3,,,57.2,,10035:4,2025-12-31 08:04:05.447494
2025-05-26,10037,1,,,455.8333,,,0.0,,,480.0,,,0.0,,,0.0,,,0.0,,,0.0,,10037:1,2025-12-31 08:04:05.447494
2025-12-22,10037,4,,,83.3833,,,0.0,,,59.3833,,,0.0,,,0.0,,,24.0,,,245.0167,,10037:4,2025-12-31 08:04:11.122402
2025-03-24,10041,1,,,400.2167,,,0.0,,,438.4167,,,0.0,,,0.0,,,0.0,,,0.0,,10041:1,2025-12-31 08:04:05.447494
2026-03-09,10041,1,,,438.4167,,,0.0,,,438.4167,,,0.0,,,0.0,,,0.0,,,0.0,,10041:1,2026-01-06 08:01:11.701957
2026-07-27,10041,101,,,59.5,,,0.0,,,59.5,,,0.0,,,0.0,,,0.0,,,0.0,,10041:101,2026-01-06 08:01:20.761453
2026-12-28,10041,101,,,59.5,,,0.0,,,59.5,,,0.0,,,0.0,,,0.0,,,0.0,,10041:101,2026-01-06 08:01:20.568593
2026-05-11,10041,4,,,66.1167,,,0.0,,,66.1167,,,0.0,,,0.0,,,0.0,,,14.6167,,10041:4,2026-01-06 08:01:11.809268
2026-12-21,10041,4,,,66.1167,,,0.0,,,66.1167,,,0.0,,,0.0,,,0.0,,,14.6167,,10041:4,2026-01-06 08:01:20.568593
2025-05-05,100465,1,,,388.9333,,,0.0,,,423.4,,,0.0,,,0.0,,,0.0,,,0.0,,100465:1,2025-12-31 08:04:05.447494
2025-09-29,100465,4,,,287.3833,,,0.0,,,296.0,,,0.0,,,0.0,,,72.0,,,112.0,,100465:4,2025-12-31 08:04:11.089236
2026-02-16,100466,1,,,58.1667,,,0.0,,,58.1667,,,0.0,,,0.0,,,0.0,,,0.0,,100466:1,2026-01-06 08:01:11.986142
2026-09-14,100466,1,,,58.1667,,,0.0,,,58.1667,,,0.0,,,0.0,,,0.0,,,0.0,,100466:1,2026-01-06 08:01:11.753363
2026-06-08,100466,4,,,149.2333,,,0.0,,,149.2333,,,0.0,,,0.0,,,0.0,,,40.0,,100466:4,2026-01-06 08:01:11.755598
2025-09-08,100467,1,,,480.0,,,0.0,,,480.0,,,0.0,,,0.0,,,0.0,,,32.0,,100467:1,2025-12-31 08:04:11.089236
2025-10-13,100467,1,,,480.0,,,0.0,,,480.0,,,0.0,,,0.0,,,0.0,,,32.0,,100467:1,2025-12-31 08:04:11.089236
2025-01-27,100469,1,,,469.5833,,,0.0,,,480.0,,,0.0,,,0.0,,,0.0,,,0.0,,100469:1,2025-12-31 08:04:05.447494
2025-11-03,100469,1,,,480.0,,,0.0,,,480.0,,,0.0,,,0.0,,,0.0,,,0.0,,100469:1,2025-12-31 08:04:11.089236
2026-11-16,100469,4,,,50.65,,,0.0,,,50.65,,,0.0,,,0.0,,,0.0,,,8.0,,100469:4,2026-01-06 08:01:20.568593
2025-01-06,10046,101,,,64.0,,,0.0,,,66.6667,,,0.0,,,0.0,,,32.0,,,0.0,,10046:101,2025-12-31 08:04:05.447494
2026-06-08,10046,101,,,94.1333,,,0.0,,,94.1333,,,0.0,,,0.0,,,0.0,,,0.0,,10046:101,2026-01-06 08:01:11.755598
2025-03-31,10046,4,,,290.55,,,0.0,,,310.25,,,0.0,,,0.0,,,152.0,,,16.0,,10046:4,2025-12-31 08:04:05.447494
2025-11-17,100471,4,,,148.3167,,,0.0,,,124.3167,,,0.0,,,0.0,,,64.0,,,176.0,,100471:4,2025-12-31 08:04:11.089236
2025-08-18,100473,1,,,253.8,,,0.0,,,254.4167,,,0.0,,,0.0,,,8.0,,,8.0,,100473:1,2025-12-31 08:04:11.089236
2026-02-16,100474,1,,,240.35,,,0.0,,,240.35,,,0.0,,,0.0,,,0.0,,,0.0,,100474:1,2026-01-06 08:01:11.986142
2026-11-16,100477,1,,,208.6333,,,0.0,,,208.6333,,,0.0,,,0.0,,,0.0,,,0.0,,100477:1,2026-01-06 08:01:20.568593
2025-02-10,100477,4,,,142.7667,,,0.0,,,126.7667,,,0.0,,,0.0,,,296.0,,,8.0,,100477:4,2025-12-31 08:04:05.447494
2026-05-18,100477,4,,,65.2333,,,0.0,,,65.2333,,,0.0,,,0.0,,,0.0,,,8.0,,100477:4,2026-01-06 08:01:11.809268
2026-03-09,100484,4,,,77.7333,,,0.0,,,77.7333,,,0.0,,,0.0,,,0.0,,,8.0,,100484:4,2026-01-06 08:01:11.701957
2026-06-01,100484,4,,,77.7333,,,0.0,,,77.7333,,,0.0,,,0.0,,,0.0,,,8.0,,100484:4,2026-01-06 08:01:11.755598
2025-10-27,100485,1,,,188.9333,,,0.0,,,197.55,,,0.0,,,0.0,,,0.0,,,0.0,,100485:1,2025-12-31 08:04:11.089236
2026-06-08,100485,1,,,199.7,,,0.0,,,199.7,,,0.0,,,0.0,,,0.0,,,0.0,,100485:1,2026-01-06 08:01:11.755598
2026-12-21,100485,1,,,199.7,,,0.0,,,199.7,,,0.0,,,0.0,,,0.0,,,0.0,,100485:1,2026-01-06 08:01:20.568593
2026-04-13,100485,4,,,168.3167,,,0.0,,,168.3167,,,0.0,,,0.0,,,0.0,,,8.0,,100485:4,2026-01-06 08:01:11.681244
2026-07-13,100485,4,,,168.3167,,,0.0,,,168.3167,,,0.0,,,0.0,,,0.0,,,8.0,,100485:4,2026-01-06 08:01:20.761453
2026-03-30,10051,1,,,476.6833,,,0.0,,,476.6833,,,0.0,,,0.0,,,0.0,,,0.0,,10051:1,2026-01-06 08:01:11.681244
2025-05-19,10051,101,,,88.7333,,,0.0,,,112.1667,,,0.0,,,0.0,,,16.0,,,0.0,,10051:101,2025-12-31 08:04:05.447494
2025-06-23,10051,101,,,96.5333,,,0.0,,,112.1667,,,0.0,,,0.0,,,16.0,,,0.0,,10051:101,2025-12-31 08:04:05.447494
2026-05-04,10051,101,,,117.4833,,,0.0,,,117.4833,,,0.0,,,0.0,,,0.0,,,0.0,,10051:101,2026-01-06 08:01:11.809268
2026-03-23,10051,4,,,223.9833,,,0.0,,,223.9833,,,0.0,,,0.0,,,0.0,,,19.0,,10051:4,2026-01-06 08:01:11.701957
2026-03-30,10055,1,,,480.0,,,0.0,,,480.0,,,0.0,,,0.0,,,0.0,,,0.0,,10055:1,2026-01-06 08:01:11.681244
2025-09-01,10055,101,,,72.6333,,,0.0,,,72.6333,,,0.0,,,0.0,,,20.3,,,32.1,,10055:101,2025-12-31 08:04:11.089236
2025-12-22,10058,101,,,106.8,,,0.0,,,106.8,,,0.0,,,0.0,,,0.0,,,24.0,,10058:101,2025-12-31 08:04:11.122402
2026-07-06,10058,101,,,106.8,,,0.0,,,106.8,,,0.0,,,0.0,,,0.0,,,0.0,,10058:101,2026-01-06 08:01:20.761453
2025-01-06,10061,4,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,8.0,,10061:4,2025-12-31 08:04:05.447494
2025-03-24,10063,101,,,75.2,,,0.0,,,82.4,,,0.0,,,0.0,,,8.0,,,0.0,,10063:101,2025-12-31 08:04:05.447494
2025-04-07,10063,2,,,32.0,,,0.0,,,32.0,,,0.0,,,0.0,,,0.0,,,0.0,,10063:2,2025-12-31 08:04:05.447494
2025-08-18,10063,5,,,0.0,,,0.0,,,192.0,,,0.0,,,0.0,,,104.0,,,136.0,,10063:5,2025-12-31 08:04:11.089236
2025-08-11,10064,2,,,56.0,,,0.0,,,56.0,,,0.0,,,0.0,,,24.0,,,16.0,,10064:2,2025-12-31 08:04:11.089236
2026-02-23,10064,5,,,120.0,,,0.0,,,120.0,,,0.0,,,0.0,,,0.0,,,0.0,,10064:5,2026-01-06 08:01:11.986142
2026-07-20,10066,101,,,36.9333,,,0.0,,,36.9333,,,0.0,,,0.0,,,0.0,,,0.0,,10066:101,2026-01-06 08:01:20.761453
2026-09-14,10066,101,,,36.9333,,,0.0,,,36.9333,,,0.0,,,0.0,,,0.0,,,0.0,,10066:101,2026-01-06 08:01:11.753363
2025-01-20,10066,4,,,0.0,,,0.0,,,3.85,,,0.0,,,0.0,,,116.0,,,0.0,,10066:4,2025-12-31 08:04:05.447494
2025-09-08,10066,4,,,59.1833,,,0.0,,,59.1833,,,0.0,,,0.0,,,72.0,,,44.0,,10066:4,2025-12-31 08:04:11.089236
2025-02-24,10068,101,,,67.3167,,,0.0,,,48.75,,,0.0,,,0.0,,,60.0,,,0.0,,10068:101,2025-12-31 08:04:05.447494
